category_code,product_category,cn_codes,allocation,total_yearly_tonnes,mfn_part_tonnes,fta_part_tonnes,q3_jul_sep,q4_oct_dec,q1_jan_mar,q2_apr_jun,additional_duty_rate,order_number
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Türkiye,"642 294,94","321 749,25","320 545,69","160 573,74","160 573,74","160 573,74","160 573,74",50 %,09.9801
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Japan,"551 539,13","306 920,89","244 618,24","137 884,78","137 884,78","137 884,78","137 884,78",50 %,09.9802
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",India,"597 274,45","299 196,82","298 077,63","149 318,61","149 318,61","149 318,61","149 318,61",50 %,09.9803
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Taiwan,"278 922,56","278 922,56","0,00","69 730,64","69 730,64","69 730,64","69 730,64",50 %,09.9804
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Ukraine,"483 529,41","242 217,73","241 311,68","120 882,35","120 882,35","120 882,35","120 882,35",50 %,09.9805
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Korea,"461 830,10","231 347,74","230 482,35","115 457,52","115 457,52","115 457,52","115 457,52",50 %,09.9806
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Viet Nam,"414 972,31","230 924,09","184 048,22","103 743,08","103 743,08","103 743,08","103 743,08",50 %,09.9807
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Egypt,"404 928,86","202 843,81","202 085,04","101 232,21","101 232,21","101 232,21","101 232,21",50 %,09.9808
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Serbia,"258 094,60","143 624,67","114 469,93","64 523,65","64 523,65","64 523,65","64 523,65",50 %,09.9809
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",FTA Quota – CSQ,"483 682,26","0,00","483 682,26","120 920,56","120 920,56","120 920,56","120 920,56",50 %,09.9500
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Brazil,"170 051,00","78 289,80","91 761,20","42 512,75","42 512,75","42 512,75","42 512,75",50 %,09.9701
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",United Kingdom,"153 924,55","70 865,34","83 059,20","38 481,14","38 481,14","38 481,14","38 481,14",50 %,09.9705
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Indonesia,"127 337,84","58 625,08","68 712,75","31 834,46","31 834,46","31 834,46","31 834,46",50 %,09.9702
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Australia,"47 320,20","47 320,20","0,00","11 830,05","11 830,05","11 830,05","11 830,05",50 %,09.9810
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Saudi Arabia,"38 180,30","38 180,30","0,00","9 545,08","9 545,08","9 545,08","9 545,08",50 %,09.9811
